,review_date,title,score,pos,cons,reviewer,review_country,stay_date
180,3 December 2019,Nice hotel,8.8,"Just want to thank Devi at the front desk (I think that’s her name) she was super nice and upgraded us for free to a better and higher room. She was the nicest of them all, I guess there was a lot of people staying at the hotel and the service isn’t as great or personalized but the pool is incredible and the location is perfect so it’s worth it. Would stay again.",,Iskra,Mexico,November 2019
181,3 December 2019,Loved staying there!!!,10.0,"It is an exceptional hotel, amazing architecture!!!  Location could not be better, steps from Gardens by the Bay.  A fantastic mall at the convention center next door with a great food court, with cuisine choices from around the world.  The subway had a stop right there which was very convenient!!!",,Maria,USA,November 2019
182,3 December 2019,The view from the pool is amazing.,6.7,The view from the pool is amazing. The staff is very friendly from top to bottom.,The room cleanliness is not up to standard. You have to stand in line for at least half an hour to check in. I could here people talking in the nearby room.,Elmagdad,United Arab Emirates,December 2019
183,3 December 2019,Club room king city view wow no words to express my feelings.,10.0,"Club room king city view wow no words to express my feelings.Check in easy.Staff incredibly hospitable, thks tor James of SPAGO, Miss Cherrie Anne of Club 55, ADRIFT staff as well as RISE staff.Exceptional variety and quality of food.The INFINITY POOL just amazing.My dreams come true.Nice environment n well located.Steps away from Gardens by the Bay or shopping at The Shoppes at Marina Bay Sands Mall.Will definitely come back.Very highly recommendable👍",,Thunooja,Mauritius,November 2019
184,3 December 2019,Amazing upgrade for my birthday,10.0,"When we checked in, the lady behind the counter realised it was my birthday and upgraded us to a higher level room.
They even left a chocolate cake in the room for when we returned from the pool","Getting food and drinks around the pool was very slow, there needed to be more staff working",Sally,Australia,December 2019
185,2 December 2019,Once in a live time - you shall see it....,8.3,"Early Check in and even late check-out was possible.
Very nice start - checkin with Mark - very engaged and enthuiastic!
Room: large and very well equipped with a great view as advertised.
Spectacular infinity rooftop pool.
Impressive light show to be seen from room window at 8pm and 9pm","The bathroom is large and nice, however, the shower is missing a hand shower.
At midnight we had to call the utility service becaue the toilet was stucked.",Anonymous,Germany,December 2019
186,2 December 2019,Absolutely worth it!,10.0,I loved it. I wasnt sure about booking it but it was absolutely worth it. I had amazing sea views from my room. I slept with the curtains open because I couldnt block out those great views. The room was spacious and the bathtub was sublime. Absolute bliss!,,Anonymous,South Africa,December 2019
187,2 December 2019,MBS,10.0,"We had a fantastic stay at MBS, for such a large complex couldn't believe the speed of check in and out we were upgraded on check in to 50th floor and it made our stay so unforgettable.",,Mick,Australia,November 2019
188,2 December 2019,Stunning MDS,10.0,"Amazing location, I came to Singapore for U2 concert and choose MDS hotel since it was in my to do list in Asia. I will for sure come back at MDS hotel",,Sylvain,China,December 2019
189,2 December 2019,Iconic Hotel,10.0,"Worth every penny, an incredible experience staying here and really made our trip to Singapore. The view from our room, the infinity pool, the roof top bars was just incredible. Plenty to do on the Marina Bay grounds and within walking distance to keep busy for at least a couple days. There is a reason this hotel is prominently featured and there is nowhere like it on Earth. It's a Sands property, owner of Venetian/Palazzo so Vegas style amenities with hundreds of shops/restaurants/gaming/shows/gondola ride on property. This is not your every day hotel and a stay here will define your trip to Singapore and if the beginning of an Asian vacation, a great kick off to spend 2-3 nights. Have to get cocktails at Spagos or Ce La Vi roof top bars.",A little pricey and massive. But you get what you pay for and have all the amenities of this iconic property. The gym is surprisingly small and basic for such an epic property.,Shaun,USA,November 2019
190,2 December 2019,Amazing! Pool was a dream come true!,10.0,"My stay was amazing, exceeded my expectation. I loved staying at the hotel and especially enjoyed the roof top yoga in the morning and the pool (opening times from 6am - 11pm were great). I did not go to any of the restaurants, only the pool side service (prices were ok).",,Daniela,Switzerland,November 2019
191,2 December 2019,"Super pool,  clean rooms great location.",7.1,"Super pool,  clean rooms great location. 
Nise acomodation personal very helpful. 
Reception in tower 3 personal badly.","Checkout  is terrible  , my plain yearly in the morning.
Reception desk opened from 7am. 
They say can drop cards in box , and we sorted all later one.
Ye they send , only how I like hotel .
But about invoice , for what I have pay and why is bigger price .
I didn't got and didn't receive yet .",Kestutis salkauskas,Ireland,November 2019
192,1 December 2019,Need to lower expectation to make it ok,7.5,The location is great and the view from the deck (57th floor) is amazing. There are so many good restaurants in the hotel and the maill itself. You need to make reservations in advance otherwise get ready to start your dinner at 9pm.,"With the price, I was expecting the room’s quality similar to Four Seasons or Ritz Carlton; however, to me the room looks like a regular 4-star in US or other part of Asia. Nothing scream “luxurious”. The pools and sun decks are super crowded like in Carribean cruise ship. Very difficult to get a proper swimming exercise.",Sylvia,Indonesia,December 2019
193,1 December 2019,The highlight of the hotel is the pool and observation deck on the 57th floor. View is spectacular!!,8.3,"The infinity pool on the 57th floor was the highlight of our stay.
The buffet breakfast had a wide variety of selections.
Amazing view from observation desk!!
Great location!","Construction going on in a nearby room so we heard drilling two of our 4 days. 
Very busy and crowded hotel.",Janni,USA,November 2019
194,1 December 2019,The view and the facility in the room.,7.9,The view and the facility in the room.,"Happened to have marathon around the hotel and road blocked everywhere. 
Not being informed and not able to access into hotel by car. Google map and hotel staff both were not able to give right direction to drive into the hotel car park. 
Need to park at Suntec City after detouring on the road for 2 hour plus. Took a mrt to hotel. Finally check in at 6pm. 
This trip was planned for my mother in law who on wheelchair. But not able to bring her due to inaccessible by car ( even taxi , grab, gojek driver refuse to take the job). 
Frustrating/",Brands,Singapore,December 2019
195,1 December 2019,Amazing one time experience,8.8,The room had a great view and good size. Definetely an amazing experince while in Singapore but not worth repeating it.,The service was ok but nothing outstanding. You definetely expect more from a 5 star hotel.,Andreea,Switzerland,December 2019
196,1 December 2019,"Bars, restaurants and location",7.1,"Bars, restaurants and location","Reception for check-in was very slow - unacceptable for a 5 star, famous and expensive hotel. Didn’t tell me about the building works and drilling right above my floor. The room next door had drainage problems that caused a bad smell. I ended up changing to a smaller room, but still paid the same price along with the inconvenience of moving rooms.",Chris,Australia,November 2019
197,1 December 2019,"Great location, nothing special other than that",6.3,Hotel location was amazing,It's like a massive shopping mall with a casino attached to a hotel ....feels very impersonal and filled to the brim with tourists trying to access the skypark....feels like a mass chain production hotel ....if you the type of person that likes to be in the heart of tourists then this hotel is for you ...,riedaa manie,South Africa,December 2019
198,1 December 2019,Great stay overall.   My stay went by too fast :-(,9.6,The hotel was great!  I really enjoyed swimming upstairs on top of the world  :-),I didn't enjoy my bed.  I felt as if it was a bit harder than what I am used to.  The mattress I prefer to sleep on is softer and fluffier.,DR RESHAMWALA,USA,November 2019
199,30 November 2019,This is real architectural wonder!,9.6,"This is real architectural wonder! Lots of shops, food options, entertainment, transportation under the same roof (although this is quite normal for Singapore). Rooftop infinity pool is amazing. View from the room to die for! Housekeeping did an excellent job looking after all our needs. This was definitely one of the most memorable hotel stay experiences.",Expensive. Huge and crowded - it may take some time to get to the lobby from the lower floors at rush hour around 1030 am - all lifts going down are full. Rooms are quite simple given the exterior and design of the building.,Sergey,Cyprus,November 2019
200,30 November 2019,First time in Singapore- this hotel is the must!,9.6,"Of course it's not a cheap hotel. But when you a here you feel ""like a boss"". View from the room, the swimming pool, stuff- all is top.","The breakfast- very tasty with great viraeties of delicious meals, but costs around 35€ or 45$ (Singapore dollars).",Artur,Netherlands,November 2019
201,29 November 2019,The location is right in the middle of everything and you...,9.6,"The location is right in the middle of everything and you have direct access tot the galleries and shoppes, the infinity pool is everything you could expect and more, the room is very big and the view is great.",I wouldn't have minded if breakfast was included :),Octavian,Romania,November 2019
202,29 November 2019,Bay view is terrific !,10.0,"Bay view is terrific !!! It was so greatfull to watch the city day and night , dark and dawn!!! The hotel is big but very quiet. Everything is organized at the high level. Don’t miss the chance to have breakfast at the highest level by the swimming pool!",The location is extremely comfortable to discover the city!,Svetlana,Russia,November 2019
203,29 November 2019,"Great experience, although a little pricey",8.8,"The rooms are beautiful! Really spacious, and fab views.",Not enough staff working by the pool for drinks/food orders. The staff there worked as quick as possible but we waited almost an hour to get a drink and wasn’t able to go to the bar yourself. Once you check out you can no longer use the facilities which is a shame for the amount of money you pay.,Jenna,United Kingdom,November 2019
204,29 November 2019,Sure to visit again,7.9,"Opted for a Sky View room, extremely satisfied with the size, view and Quality. Plenty dining options available at the property.","Poor Check in Experience. Receptionist -Mark was extremely rude upon check in. Demonstrated poor Listening skills, which was later confirmed with other guests on check in. Would prefer a more professional attitude from the front desk of such a well known , high class property.",Anonymous,Qatar,November 2019
205,28 November 2019,Good,8.3,Infinity pool,"Not receiving a confirmation or instruction where we should check in. The hotel have few check in desks and we were sent around back and fort, trying to figure out which desk we should check in at. After 16 hours of flight, the last thing I wanted was to walk back and fort in a long hotel lobby, trying to figure out where we need to check in.",Joane,United Kingdom,November 2019
206,28 November 2019,Fantastic stay!,10.0,"Everything was great, thank you Marina Sands for a great holiday! Room service, holding luggage, comfortable bed, great pool and shopping everywhere! Recommend!",,William,USA,November 2019
207,28 November 2019,MORE THAN AMAZING STAY !!!!!,10.0,"legendary hotel
everything is JUST PERFECT AND AMAZING
you could imagine with so many rooms and people .... but the staff is incredibly nice and helpful .. especially at the pool
the pool is world masterpiece ...
nothing much to say 
they upgrade me ... they gave me late check out 
this place is a dream
do not hesitate and GO THERE",,Philippe,France,November 2019
208,28 November 2019,Exeptional hotel with excellent service,10.0,"From the moment you step out of the car or taxi you are greeted by staff who take your luggage straight to your room. The check in was pleasant and the staff very helpful. The hotel is spotlessly clean, I would go as far to say it was gleaming. the room was beautiful with views of the tall trees in the gardens by the bay. The pool on the rooftop is lovely and there are enough beds to accommodate everyone by the pool.","Take your own photographs in the pool, I had an official photographer take mine, you couldn't buy just one you had to buy a minimum of 3 in a booklet, which initially cost 150 dollars, I got him down to 88 dollars but it was still very pricey for 3 photographs! Just an observation, couldn't fault the place other than this.",Carmel,United Kingdom,November 2019
209,28 November 2019,"Great location, beautiful views and modern comfortable room",10.0,It was a perfect stay. The hotel is impressive and is a landmark by itself. You will not be bored staying here.,"Location, the architecture and beautiful views.",Teresa,USA,November 2019
210,28 November 2019,Marina Bay Sands - when only the best will do!,9.6,"We just had to try out this Singapore icon hotel on the last leg of our journey home to Australia from the UK and we were not disappointed. Our upgrade to a Premier Twin Room on the 33rd floor was huge with a separate walk-in shower, separate toilet and bath in the twin sink change area - all so very clean and spacious.
The S$50 breakfast at Rise Restaurant in the massive hotel foyer was outstanding with a vast variety of different countries’ breakfast foods.  We enjoyed a leisurely 2 hour brunch! 
My delectable meal at Lavo Italian Restaurant on the 57th floor overlooking Singapore was absolutely stunning.","It was a nuisance having to take my room keycard out of my bag each time to swipe in and out everywhere we went on the top floor to go from the Infinity Pool to the Observation deck to the restaurants.  
It would be better to give all guests a hotel lanyard with keycard attached (like on cruise ships) to differentiate them from outside visitors.",Mary,Australia,November 2019
211,27 November 2019,Great Experience,9.6,"Very nice experience. Would love to stay there again. 
Nice staff.","The pool is a little bit crowded but that was expected. 
The water in the pool could be warmer.",Allan,Brazil,November 2019
212,27 November 2019,Fantastic hotel in ther best location,7.9,"Amazing views of the gardens from our room. Air conditioning was great and kept us cool after a warm day outside. So much to do. The staff are amazing. Our son left his phone in a taxi on our last day. The hotel staff were incredibly helpful, going the extra m,ile even though we didn't lose it at the hotel.
Best of we recovered the phone thanks to a fantastic taxi driver and the staff at the Marina Bay Sands","These rooms should not be advertised as suitable for 3 people. It had only two single beds and I had asked for room for 2 adults and a 12 year old. The beds were totally inadequate. We had to get an extra bed that we had to pay for, which was disappointing.",Stephen,New Zealand,November 2019
213,26 November 2019,"Excellent pleasant stay. Excellent pool, love the pool",7.5,"Good view from the 7th floor, clean, orderly, good ambience","Too long a queue at check in counter & long queue at the lift.
The night club was not operating on night of 20/11/19",Yong,Australia,November 2019
214,26 November 2019,Just ok I won’t recommend it unless they improve on food selection and prices,7.5,The pool,"Too many people, food selection is extremely poor, the hotel is cater for Asians not for Americans 
No 24 hrs food service anywhere in the hotel and extremely expensive",Gamel,USA,November 2019
215,26 November 2019,MBS is a CITY by herself.,10.0,"Breakfast had a wide array of different cuisine. Location where we had breakfast was right outside elevator hall.
You can actually experience Singapore at the Marina Bay Sands. YOU NEED NOT LEAVE THE PLACE!",Everything was OK to me.,Maria,Philippines,November 2019
216,25 November 2019,Great property and service .,10.0,Great property and service ....quite expensive compared to all other hotels but service and room were great,Expensive property but YOU GET WHAT YOU PAY FOR,Lonewolf,USA,November 2019
217,25 November 2019,"Amazing building, great view even from lower floors,...",9.6,"Amazing building, great view even from lower floors, relatively good location, easy to access from the metro, the staff is exceptionally helpful.","No shuttle service from the airport, too long waiting time for check-in.",Zoltan,Ireland,October 2019
218,25 November 2019,An unforgettable experience!,9.6,"An unforgettable experience! We were accommodated on the 36th floor with stunning views. The pool is a magical place! It is definitely worth paying for a Club55 room , all with excellent quality and organization!
Thanks the hotel manager for the sweet surprise for our Anniversary!",,Aleksandar,Bulgaria,November 2019
219,25 November 2019,Great pool and view,9.6,"The infinity pool and the view are magnificent. Nice clean, well appointed room. We loved the curtains that open as you enter the room.","The lobby is terrible. Way too big with no seating whatsoever. After you check out and are waiting for a car, there is literally nowhere to sit.  It resembles a huge airport terminal, with people and suitcases moving about everywhere. And then there are the groups of tourists endlessly being walked through the lobby, making the crowd even worse. This should not be allowed in a hotel of this high price range.",Ian,Australia,November 2019
220,25 November 2019,I can't get over the views on the 48th floor and the...,8.8,"I can't get over the views on the 48th floor and the floor to ceiling windows accentuate them for a truly amazing experience.
I also recommend the Buffet on the ground floor for a great lunch.",,David,New Zealand,November 2019
221,25 November 2019,"Novelty of rooftop pool, however again, quite basic.",5.0,"Novelty of rooftop pool, however again, quite basic.","We didn't check in until 4pm and the room was still not ready, so had the inconvenience of hotel workers in the room whilst we were trying to get ready. Also charges 90 dollars to have a bucket of ice to the room. Very basic standard hotel rooms. Underwhelming.",Star,China,November 2019
222,24 November 2019,"Everything from the staff, they were amazing, they helped me...",10.0,"Everything from the staff, they were amazing, they helped me if I needed anything and they made my birthday special. 
The place was perfect, best place I ever spent for my birthday and I cannot wait to come back.","I loved every second of it, I wish I stayed longer.",Firdes,Australia,November 2019
223,23 November 2019,Almost perfect,10.0,"Absolutely gorgeous! One of the best hotels I’ve ever stayed in! 
The balcony was insane. Service was impeccable. The room is very spacious and cozy. I loved all the sunlight and the breathtaking garden view.  
The tub is huge. The bathroom is gorgeous",No bidet or water hose next to the toilet. Very inconvenient.,Asma,Saudi Arabia,November 2019
224,23 November 2019,"Location was incredible, pool and the views from the...",9.6,"Location was incredible, pool and the views from the room/roof were stunning.  Bath was an unexpected bonus and enabled me to relax away the effects of long travel.","Access to/from Gardens by the Bay/MRT can be confusing and at times caused me to have to walk a long way round the outside of the hotel, which in the Singapore heat/humidity was not ideal.",Anonymous,United Kingdom,November 2019
225,23 November 2019,Best hotel i ever stayed in!,10.0,Best hotel i ever stayed in! We had a suite on 51st floor with pool table and fantastic view on Gardens on the bay! Breakfast both on the top floor and also in the lobby was fantastic as well!,,Marin,Croatia,November 2019
226,23 November 2019,"The staff was amazing, very helpful and they did everything...",9.6,"The staff was amazing, very helpful and they did everything in their power to give us the best experience at the hotel's facilities. The food was great and the view from the infinity pool and sky deck were breath taking.",Bigger beds to have 3 guests comfortable. It was a bit hard with the bed sizes to have 2 adults sharing.,chidarkcy,Mexico,November 2019
227,23 November 2019,Amazing view!,9.2,You will get an amazing view from the room especially if you get the top floors looking down to the bay and the skyline. The bed is very comfortable and the room is sound proofed.,You expect to get a luxurious room but is quite a standard large room. To be really rigorous about the level of the hotel I received 2 conditioners but no shampoo and only one shower gel.,Cris,Romania,November 2019
228,22 November 2019,Wonder is not enough.,9.2,"1-  I reached at 1 PM  a little early from check in time , they upgrade my room to suite to  enjoy my stay and access the room immediately 👍👏
2- infinite pool
3 - Sky observation desk.",Too expensive 😢,Anonymous,Egypt,November 2019
229,22 November 2019,memorable and priceless . We loved the hotel facilities so much we did not explore Singapore,9.6,"location , restaurants and all f&b outlets was amazing efficiency.
cleanliness , hotel design is iconic and an aspirational destination.",truly no feedback,Pillay,South Africa,October 2019
230,22 November 2019,A must visit in SG but more of a business & shopping tourist kind of a hotel,9.2,"The view is magnificent, love the harbour view. The room is spacious and the staff are good.","Other than the view and the rooftop swimming pool, the hotel doesn’t really have a lot of places to explore. The ground level of the hotel felt a bit crammed. It is so near to the shopping centre that the experience felt as if I’m living in a shopping centre. But it’s not noisy.",Lingke,Singapore,November 2019
231,22 November 2019,Marina Sands Hotel,10.0,"Such an amazing experience. Worth it every penny. Me and my boyfriend got a suite on 13 floor nice view to the Marina Sands shopping. The infinity pool is amazing. We also had some lunch while at the pool. Staff very nice. When we check out we were able to leave our bags in the storage luggage and walk around a lit bit more in the city and also take a shower before catching our flight to Bangkok. They provide a sauna, shower another level experience by the gym so we were able to use after checking out the hotel. Love it.",Hard to say everything was amazing.,Raisa,USA,November 2019
232,22 November 2019,Only worth 1 night,7.5,One of the main attractions of Singapore with the best views of the whole city,"You book a room to sit in a tourist attraction, with people scrambling for sun beds and nowhere to really relax",Daniel,United Kingdom,November 2019
233,21 November 2019,"The location has exclusive access to many restaurants,...",7.9,"The location has exclusive access to many restaurants, shopping areas, tourist attraction and even casino in a walking distance.   For shoppers, raining days won't bother coz you'll be staying in a grand one-stop-mall with luxurious space to stroll along.  For light/heavy drinkers, can't miss the signature sky bar.",Great if can replace the plastic electric kettle to a stainless steel one.,Jo,Taiwan,November 2019
234,21 November 2019,Wonderful hotel,10.0,"The welcome starts right from the time you step out of the taxi from the airport. Staff are very friendly and helpful. Beautiful hotel, spotlessly clean. It’s big, but it doesn’t take long to find your way around. Views of the garden by the bay are wonderful. As a solo traveler, the area is very safe to walk around.",Nothing.,Carmel,United Kingdom,November 2019
235,21 November 2019,Our stay at Marina Bay Sands was fantastic.,9.6,Our stay at Marina Bay Sands was fantastic. The views from the infinity pool put just incredible and our Marina Bay view room gave us a great view of the Marina Bay Area too!,,Sam,United Kingdom,October 2019
236,21 November 2019,Amazing views and great service,9.6,The staff were extremely friendly and made us feel very welcome from check in to check out. The view from our room and also from the infinity pool was amazing.,No real problems except overcrowding in the lobby making it really hard to get in and out of the hotel.,Sarah,Australia,November 2019
237,21 November 2019,I arrived at the property and got to my room to find a...,9.2,,I arrived at the property and got to my room to find a terrible drainage/sewer smell in my bathroom. This was reported to the front desk and rectified by the time I returned to my room some few hours later,Frances,United Kingdom,November 2019
238,20 November 2019,The view from the room and the pool is spectacular.,9.2,The view from the room and the pool is spectacular. The hotel is beautiful and right in the middle of the best part of Singapore.,It’s quite pricy as expected. Breakfast was $50!!,Katarzyna,United Kingdom,November 2019
239,20 November 2019,Beautiful!,10.0,"Beautiful! The hotel is absolutely magnificent and breathtaking! Everything is great, the food is delicious, the room is really comfortable and the staff is really friendly, helpful and well trained. Especially Sarah, who did the absolutely most for us, she was really kind and even gave us an upgrade to a better room. The view is incredible and the pool is unbelievably perfect.",,Flavio,Brazil,November 2019
240,20 November 2019,"Extraordinarily beautiful design, clean, perfect attention...",9.6,"Extraordinarily beautiful design, clean, perfect attention to detail, views and amenities.  However, the staff are what made the difference. First impression sky rocketed when I was greeted by the lobby ambassador, Lee, who personally ensured my smooth and expedited check-in. He also spoke with the taxi drivers giving them explicit instructions as to my destination.  My guest services rep ensured my room was utterly spotless. The room was so spacious and perfect. I’d stay here again in a heartbeat!",,Laura,USA,November 2019
241,20 November 2019,Fun,7.5,,"It was my friends birthday and I had arranged for some sort of birthday surprise for him in the room however we recieved nothing.
Also a horrible smell near the water fountain in the pool by the bar.",Karan,United Kingdom,November 2019
242,20 November 2019,Superb,10.0,I especially liked it that the person who was cleaning our room noticed that I only used the English Breakfast Yeabags. I returned one afternoon to find 4 there instead of the usually only 1.,Nothing,Stella,Australia,November 2019
243,19 November 2019,Fantastic view,9.6,"Wonderful hotel in a great location, with the perfect pool. Thank you for the early check-in and the large room with a fantastic view.","As with most hotels, the artwork could be more original.",Anonymous,Finland,November 2019
244,19 November 2019,Stunning hotel and very good staff,10.0,We got upgraded to a huge room with views of both sides of the building. Very very happy,Nothing. Fantastic hotel and facilities. Will stay here again but for longer next time.,Anna,Australia,October 2019
245,18 November 2019,Worth adding to your bucket list.,9.6,"The pool area.  Not is it iconic, the food and drink service was a great accompaniment.  Though expensive, it is well worth a a single night stay.","Pool area was crowed, day and night.",Rod,Australia,November 2019
246,18 November 2019,"The amazing pool, you can’t beat it!",10.0,"The amazing pool, you can’t beat it! The room service was excellent and staff were very friendly! We tried a few restaurants including club 55 and lavo and both were amazing.",Nothing.,Gill,United Kingdom,November 2019
247,17 November 2019,Nice to try once. No need to repeat.,7.5,Huge hotel convenient to Gardens by the Bay. Beautiful views.  Pool is a sight to behold but a bit too much very quickly.  No real hangout spots without sitting right at the pool.,"Lavo was a very bad dining experience.  For all the amazing food in Singapore this was a touristy,  overpriced restaurant with the most mediocre food in all of Asia.",Anonymous,USA,November 2019
248,17 November 2019,Checkin in wasn't that good but kudos to Mr David for making me and family comfortable!,9.2,"Recommendations for Mr David at the lobby service! Attention to detail, very good customer care and making sure that the guest at the lobby checking in and checking out is very comfortable.","Started bad but the service is very good!
Spago lack of attention to needs... color coded service too...",Ian,Indonesia,November 2019
249,17 November 2019,The room size was good.,8.3,The room size was good.,"The price compared to what the hotel offers is too high. 
It didn't give me a personal feeling, it was more of a fast check in to get to the next person. no personal touch.",Dr,Germany,November 2019
250,17 November 2019,Everything was great.,9.2,Everything was great. The room was clean. Amenities and facilities were amazing. Superb experience.  Great location. The Garden View was the best especially in the evenings.,Too early check out time (11am).,lorspalm,Philippines,November 2019
251,17 November 2019,Loved this hotel.,9.6,"Loved this hotel. The staff couldn’t be nicer.
The property is beautiful, spacious and it has a great variety of restaurants and shopping.
The infinity pool is breath taking.",Prices inside the hotel were higher than outside of the hotel.,Anonymous,USA,November 2019
252,17 November 2019,The location is great but it’s over hyped.,8.3,The location is great but it’s over hyped. The hotel amenities and the hotel rooms are average. Nothing too crazy. I stayed at The Ritz Carlton right after and the view the rooms the cleanliness and the amenities beats marina sands out of the water any day. It was just to get off the bucket list that I stayed at marina sands. I will be staying at The Ritz anytime I come back to Singapore .,Rooms are average and over priced,Kunal,USA,November 2019
253,16 November 2019,Totally on trend and in the most happening area for tourists...,9.2,Totally on trend and in the most happening area for tourists in Singapore. Lives up to the hype-especially the rooftop pool!,Don’t go if you are looking for a quiet getaway and individual attention! Bars all too loud & dark for chilling out!,Shelagh,United Kingdom,November 2019
254,16 November 2019,Most overvalued hotel in Singapore,5.8,,"Noisy water pipes, bathtub was dirty and didn't work properly, very old TV without USB connection. Can't swim in the pool. It's divided into small sections and serves only as a photo prop. Overall way too expensive for what they offer. Not worth the money. I'd highly recommend to stay somewhere else.",Anonymous,Uruguay,November 2019
255,15 November 2019,Too expensive for the room without breakfast.,4.2,,Too expensive for the room without breakfast. Hot water tap is so confusing. Be cautious. Food is So so only. The pool is too small. Not great as advertised. Dont fall into trap.,Ananth,Malaysia,November 2019
256,15 November 2019,Always a great experience to see the skyline from the infinity pool.,9.2,"Pool, great staff, mango juice, bed and pillows, large bathroom and toiletries","Struggled to find our way to Gardens at the bay and back to the hotel.  Need better signage.  Staff helped us with how to get there, then on the way back, a security guard told us the wrong way and our poor elderly moms had to make a big circle near the water and climb steps when all we needed to do was go right instead of left.  We basically made a huge circle.  It would also be nice if hotel guests receive a discount for tickets.",Abigail,Singapore,November 2019
257,14 November 2019,Infinity pool was amazing,6.7,Infinity pool was amazing,Sign up to a rewards program that doesn’t allow you to get points bra cause it was booked through booking.com and wasn’t told,Michael,Australia,November 2019
258,14 November 2019,Would never come again.,4.2,None.,"Cold-blooded atmosphere without human touch. (already noted it's my daughter's birthday, at least the other 5-star hotel gave a birthday welcome cake)
No breakfast included.
Inconvenient location where you have to walk very far away to get something affordable to eat.",Anonymous,Taiwan,November 2019
259,14 November 2019,A perfect hotel!,9.6,It is a great location with many of the sights nearby and the subway system has a underground stop at the hotel/mall which makes it very convenient.  The rooftop pool is amazing and the views are breathtaking!,,Norma,USA,November 2019
260,14 November 2019,"Overrated, overpriced and unfriendly",3.3,The pool view is nice but good luck getting service like drinks or food.,Bathrooms smell like urine. Everything was expensive and not worth the value as it did not taste good. Alcoholic drinks were watered down. Staff could not care less about your needs.,Martha,Singapore,October 2019
261,13 November 2019,"Perfect 10 for efficiency, customer service, facilities and...",10.0,"Perfect 10 for efficiency, customer service, facilities and luxury value! The room has gorgeous view and the bed is super comfortable - I never had a great night sleep like that in months! Lots to do around Marina Sands - everything is a walk away! Great fun.
Seamless check in/‘check out process - they did master all hospitality best practices in the book!",The Infinity Pool is awesome but not as much as my expectations. Still a very great experience.,Turknoy Travels 100,Qatar,November 2019
262,13 November 2019,The kindness of the check in guy devien who upgraded our...,10.0,The kindness of the check in guy devien who upgraded our rooms. It was a beautiful blessing. Thank you for training staff so well. The express check out lady was extremely kind as well. Well done and keep it up.,"No halal food 
Minestrone soup was inedible. 
Mentioned as food 4 thought and much room 4 improvement",Anonymous,South Africa,October 2019
263,13 November 2019,The check in process for visitors who came all the way from...,10.0,The check in process for visitors who came all the way from United States was given an opportunity to check in early.,"Price for breakfast was a little bit high, it cost roughly $30 US dollars.",Ron,Philippines,November 2019
264,13 November 2019,Not worthy my money for staying there,5.8,I like my room view and the infinity pool.,I didn’t like the staffs at the check in and out offices. They all have the grumpy face and not helping me with my problem.,Minh,USA,November 2019
265,13 November 2019,Amazing experience that will leave you wanting more!,10.0,"From the moment we got out of the car, we greeted taken care of. The staff went above and beyond. Amazing love coming to marina bay sands, always an excellent experience!","The pool was a little overcrowded, but that’s no ones fault. Ce la vie, the food was great but the service not so much.",Juan,USA,November 2019
266,12 November 2019,Amazing building but...,6.7,The swimming pool is amazing!!!,"The room was normal, my expectation for this luxury hotel was higher. In addition, as I arrived on the floor of my room, I smelt a strange smell. Concierge initially sent a technician (speaking only Chinese) with a device to purify air. I called again the concierge because the smell was still present: we discovered the guest next to my door had durian in the room! This fruit is forbidden in public areas, so I was surprised about this fact happening a luxury hotel. I had the chance to change room, but I didn’t want to loose time to spend in the swimming pool.",Massimo,Italy,October 2019
267,12 November 2019,Spectacular views!,9.5,"I had a flight arriving at 4am and was pleasantly surprised when my room was made available to me at this early hour. My room was on the 48th floor with incredible city views, where the light show was visible at night. The suite was huge, with a great bathroom also. The service I experienced throughout the hotel was superb from check in to check out and everything in between. 
The infinity pool was everything I hoped for and although busy, gave me that wow moment I was looking for. You definitely feel like you’re part of an exclusive club up there and made the cost all worthwhile.","The only downside for me was that the bed was a little too firm and the pillows were also pretty flat. For the price you pay (SGD$1300 for 2 nights) I was expecting luxury bedding, instead I found the bed quite uncomfortable and would wake with a sore neck/back.",Kelly,Australia,November 2019
268,11 November 2019,MBS Singapore,10.0,"The view from the hotelroom is very nice.
Rooms are spacious and clean.
Nice and friendly staff.
Infinity pool is simply amazing.
Easy access to Gardens of the Bay and shopping mall.",,Saima,Norway,November 2019
269,11 November 2019,Singapore Icon,9.2,An amazing hotel - so much to marvel at inside and out. Staff couldn’t have been more helpful. Room was spacious and very comfortable. City view was great,The price,Jane,United Kingdom,November 2019
270,11 November 2019,Its my second visit to Marina and its still one of our favourites,9.2,ambiance of the room was very nice. the staff were very efficient during our stay.,"As with every hotel, the tendency to drop the air-conditioning during the nights is common. if there was a small item i did not like, than this was it for us. It was warm during the nights.",ZAUQI,Malaysia,November 2019
